"id","account_name","page_type","retailer_sku_name","offer","pick_up_availability","fastest_delivery","delivery_availability","sku_status","promotion_type","trend_rank","main_rank","bsr_rank","product_url","calendar_week","crawl_datetime","batch_id","main_page_number","bsr_page_number","promotion_position"
"20758","Bestbuy","main","Samsung - 85” Class U8000F Series Crystal UHD 4K Smart Tizen TV (2025)",,"Pick up in 1 hour",,"Delivery as soon as Thu, May 21",,,,"11","54","https://www.bestbuy.com/product/samsung-85-class-u8000f-series-crystal-uhd-4k-smart-tizen-tv-2025/J3ZYG2V4Y2","w21","2026-05-18 00:01:39","b_20260518_000009","1","3",
"20759","Bestbuy","main","Insignia™ - 65"" Class F50 Series LED 4K UHD Smart Fire TV","3","Pick up in 1 hour",,"Delivery as soon as Sat, May 23",,,"9","12","16","https://www.bestbuy.com/product/insignia-65-class-f50-series-led-4k-uhd-smart-fire-tv/J2FPJKSFY7","w21","2026-05-18 00:01:39","b_20260518_000009","1","1",
"20752","Bestbuy","main","Roku - 40"" Class Select Series Full HD (1080p) LED Smart RokuTV (2026)","1","Pick up Fri, May 22","Get it tomorrow   • FREE",,,,,"5","8","https://www.bestbuy.com/product/roku-40-class-select-series-full-hd-1080p-led-smart-rokutv-2026/J3PFCJQQXJ","w21","2026-05-18 00:01:39","b_20260518_000009","1","1",
"20760","Bestbuy","main","Hisense - 75"" Class U6 Pro MiniLED Series QLED 4K UHD Smart Fire TV (2026)","1","Pick up Wed, May 20",,"Delivery as soon as Thu, May 21","Sponsored",,,"13","7","https://www.bestbuy.com/product/hisense-75-class-u6-pro-miniled-series-qled-4k-uhd-smart-fire-tv-2026/J3Z9Z42WZ6/sku/6673624","w21","2026-05-18 00:01:39","b_20260518_000009","1","1",
"20769","Bestbuy","main","Insignia™ - 40"" Class FE Series LED Full HD Smart Fire TV","2","Pick up in 1 hour","Get it tomorrow   • FREE",,,,,"22","17","https://www.bestbuy.com/product/insignia-40-class-fe-series-led-full-hd-smart-fire-tv/J2FPJK97F3","w21","2026-05-18 00:01:39","b_20260518_000009","1","1",
"20756","Bestbuy","main","Insignia™ - 50"" Class F50 Series LED 4K UHD Smart Fire TV","3","Pick up Fri, May 22","Get it by Tue, May 19   • FREE",,,,,"9","10","https://www.bestbuy.com/product/insignia-50-class-f50-series-led-4k-uhd-smart-fire-tv/J2FPJKSFVR","w21","2026-05-18 00:01:39","b_20260518_000009","1","1",
"20755","Bestbuy","main","LG - 65” Class UA7050 Series LED AI 4K UHD Smart webOS TV (2025)","4","Pick up in 1 hour",,"Delivery as soon as Thu, May 21",,,"7","8","12","https://www.bestbuy.com/product/lg-65-class-ua7050-series-led-ai-4k-uhd-smart-webos-tv-2025/JJ8VPZKYT2","w21","2026-05-18 00:01:39","b_20260518_000009","1","1",
"20753","Bestbuy","main","Samsung - 65"" Class U7900 Series UHD 4K Smart Tizen TV (2025)","1","Pick up in 1 hour",,"Delivery as soon as Thu, May 21",,,"2","6","5","https://www.bestbuy.com/product/samsung-65-class-u7900-series-uhd-4k-smart-tizen-tv-2025/J3ZYG2V5VV","w21","2026-05-18 00:01:39","b_20260518_000009","1","1",
"20751","Bestbuy","main","TCL - 75"" Class A300W NXTVISION Series 4K QLED Lifestyle TV with Ultra Matte Screen and Flush Wall Mount (2024)","3","Pick up Wed, May 27",,"Delivery as soon as Sat, May 23","Sponsored",,,"4","13","https://www.bestbuy.com/product/tcl-75-class-a300w-nxtvision-series-4k-qled-lifestyle-tv-with-ultra-matte-screen-and-flush-wall-mount-2024/J36QYTK3TG/sku/6590119","w21","2026-05-18 00:01:39","b_20260518_000009","1","1",
"20764","Bestbuy","main","Samsung - 75” Class Q7F Series QLED 4K UHD SamsungVision AI Smart Tizen TV (2025)","1","Pick up in 1 hour",,"Delivery as soon as Thu, May 21",,,"8","17","21","https://www.bestbuy.com/product/samsung-75-class-q7f-series-qled-4k-uhd-samsungvision-ai-smart-tizen-tv-2025/J3ZYGXCLLK","w21","2026-05-18 00:01:39","b_20260518_000009","1","1",
